commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
0115c8038ffd9bbe21396f94fbc8e54142536349,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
026286736ba508994d10dfecec4989a4484cd828,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
057d7958289ddce626951a695b01ac57628a58f1,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
0a034f65daa1483b653d713dccebb53e4a2077dd,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
0cda40a17ab8b23cebfa212e68993566e34a1a52,149,3,2,2,27,125,"259, 327, 330, 78, 400, 20, 22, 502, 703"
11bc134af4d55c26a976feb72a049a028cd8b80e,154,3,2,2,28,129,"259, 327, 330, 78, 400, 20, 502, 22, 703"
1586dd046d0c05079881d9bdd43b048898a3e52a,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
17455f5b1f06b884ac08022d741d332fbca04035,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
18aa661be308ecda1b79c09863a9ed36034cbe2d,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
1c539f6039a82d1e253d5addeee8b233b82becc8,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
1ffb9086df980a6209ba04577787b17001c90380,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
24ae3449d3849e26d1eaba12424ecb13656f4907,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
2d0cbf5b1226147d07fd2edd1705c5dccdc2c830,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
2ea001e60264891d8b12226004693f75fdec1c62,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
2ef42a06cb9d5487604ea68ea1e8f606c28f52fa,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
300218b32740d8e435bc1a3300a933c933d1d8e3,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
3071ebf54c4ec1ebb5ab14b0bb4608be70659611,152,3,2,2,27,128,"259, 327, 330, 78, 400, 20, 22, 502, 703"
3d98436e3adbec4674d51ada9210b3720e4be887,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
3eaca244739b714fc54322df27df573662d7ac33,152,3,2,2,28,127,"259, 327, 330, 78, 400, 20, 502, 22, 703"
