commit_id,confidence_high,confidence_medium,confidence_low,severity_high,severity_medium,severity_low,unique_cwes
1838e0b19df98c1ec82acd1d681b7092403e8848,350,0,0,3,0,347,"330, 502, 78, 703"
192c4aea79c6932f6ebeb86c18f636eb8d2b7066,349,0,0,3,0,346,"330, 502, 78, 703"
1a1f40024d097ee687b3e5c182f8a5f3c028b820,349,0,0,3,0,346,"330, 502, 78, 703"
1ce88d5813b1a334962ebc7742916584d80fe999,349,0,0,3,0,346,"330, 502, 78, 703"
206843c8bc22210c6bd95537fc28d87c552d03d0,346,0,0,3,0,343,"330, 502, 78, 703"
23388375b7495e70a5163986a401e526c5543b7f,347,0,0,3,0,344,"330, 502, 78, 703"
236a57ccce81ec1b2110fca0e8c81a86e34e4412,356,0,0,3,0,353,"330, 502, 78, 703"
26457de211254330d05f398fd26815403f76efc7,349,0,0,3,0,346,"330, 502, 78, 703"
2872c7e4983b826a38d76c7dfc162653fcd5cd23,346,0,0,3,0,343,"330, 502, 78, 703"
29393f418428e88f23b42ece03f3a9d44bb9a3e7,367,0,0,3,0,364,"330, 502, 78, 703"
29ab1594a48544899f4124cf719e53f5f2c06da5,349,0,0,3,0,346,"330, 502, 78, 703"
2b628306d5983f96cfec1ab46f4205b2f6208d92,356,0,0,3,0,353,"330, 502, 78, 703"
2cdb2e9b29e1d6c917420bf400c89a52a17f8026,350,0,0,3,0,347,"330, 502, 78, 703"
2f5377acb378be034c24e3b21742f0c3e3283649,356,0,0,3,0,353,"330, 502, 78, 703"
2fe1609dd7e545b3bc02e4d026e42ef8629270b8,349,0,0,3,0,346,"330, 502, 78, 703"
30a149a22169382aad3091abb8052adfc508934d,364,0,0,3,0,361,"330, 502, 78, 703"
30bc0103dffd7d7a9b098c815207d65be4332663,371,0,0,3,0,368,"330, 502, 78, 703"
31b0c34af312efc12a4f5844c9fab946772b26f2,355,0,0,3,0,352,"330, 502, 78, 703"
324e0440f0ae007eeb6ee9c02624d1b9b32ca8c7,355,0,0,3,0,352,"330, 502, 78, 703"
363fe6208d9662309a50d4f7012449afa1e9cdc2,345,0,0,3,0,342,"330, 502, 78, 703"
39bff247f2acdb1d2a3106985733b5b1f2d29136,371,0,0,3,0,368,"330, 502, 78, 703"
3b00a4274c8da0c8031e1a645e96d0b4aa25b380,345,0,0,3,0,342,"330, 502, 78, 703"
3d1b888bccdd27a28f9f12a4e89288afe1ee493a,367,0,0,3,0,364,"330, 502, 78, 703"
402ad01bd69e43dd8ca162b83070cba541daa9ac,349,0,0,3,0,346,"330, 502, 78, 703"
4043ef098214732662950c06c2b39407804b3153,346,0,0,3,0,343,"330, 502, 78, 703"
41fca1eb601139922817a17b6335a8c2d2c8db51,362,0,0,3,0,359,"330, 502, 78, 703"
439a4d7e209f15b1b87967e497deaeda499d07fb,369,0,0,3,0,366,"330, 502, 78, 703"
4427aa442f1964ac44e27924e2e18f152b5326b2,356,0,0,3,0,353,"330, 502, 78, 703"
48c49a1fe0538be455d52aa9a0eb57519a6ce2eb,347,0,0,3,0,344,"330, 502, 78, 703"
4e6f036d6df469d5610d07805c1d09b16d20692c,355,0,0,3,0,352,"330, 502, 78, 703"
4e9a86dbd322fa777358b04e0d7c7ad4c5524787,356,0,0,3,0,353,"330, 502, 78, 703"
4f451f71ff5427113fc6fd176f849425837a6751,349,0,0,3,0,346,"330, 502, 78, 703"
516d4ac96ac7c6644d21b8f988d5dd434218da30,356,0,0,3,0,353,"330, 502, 78, 703"
52d869239b97a114c65b8d5c54d25b01607c7a7f,349,0,0,3,0,346,"330, 502, 78, 703"
58386d88747259b8b3da5082e30f1c6e0aa3b31a,369,0,0,3,0,366,"330, 502, 78, 703"
59650f8fe72ac498374434a10a3dd49f3c3d1429,366,0,0,3,0,363,"330, 502, 78, 703"
5c8f620d82575058f31e7c6a523617c48e5a927f,349,0,0,3,0,346,"330, 502, 78, 703"
5daadf57e8c58212212a6e8d2b8854a722c60408,356,0,0,3,0,353,"330, 502, 78, 703"
5e25222c22ac274c3b4a63d0c8e89fafe165a895,371,0,0,3,0,368,"330, 502, 78, 703"
5f9d93cbdd7b2bcd35cc24fa4c3a573f36fb0335,347,0,0,3,0,344,"330, 502, 78, 703"
6294dafb5941c238427f5e4c2b1545540f16186d,349,0,0,3,0,346,"330, 502, 78, 703"
654707e7e640d5b1d15e3714ba4ce54a3597bce9,346,0,0,3,0,343,"330, 502, 78, 703"
6847b0e682f5127cec2693ee5f82080465fee19f,356,0,0,3,0,353,"330, 502, 78, 703"
6a33516b8cb87a04a2e208c7a794e58f40f6f9b9,346,0,0,3,0,343,"330, 502, 78, 703"
6a4f1cf846e03c8701fcc53b9e910077b5824e59,366,0,0,3,0,363,"330, 502, 78, 703"
6b74737501c85df9b9c2585faef4797a5250171b,367,0,0,3,0,364,"330, 502, 78, 703"
6cdf07efa04d2651a632e963fb464c2265c91b9c,349,0,0,3,0,346,"330, 502, 78, 703"
6cfe9cc3e84b29264ae8c5fa1f1b3ce9c09acfbf,349,0,0,3,0,346,"330, 502, 78, 703"
72be3e43fdd6f8057a3a6f97d9fa1b00167eac6b,356,0,0,3,0,353,"330, 502, 78, 703"
73d561265b109f30cf76a280cdcc74aa9e6df391,367,0,0,3,0,364,"330, 502, 78, 703"
7503d34c1f49a96c7ab31b177f6f3a3ffc8ab049,346,0,0,3,0,343,"330, 502, 78, 703"
75a3289dd3215124149d82eb27b8a75899b06a8f,347,0,0,3,0,344,"330, 502, 78, 703"
76c091dc8841de1d1a1cd6511bb509fe4f058de6,369,0,0,3,0,366,"330, 502, 78, 703"
76f3ba89771b8c7ae772ec8d80d79337b30d9bf9,356,0,0,3,0,353,"330, 502, 78, 703"
77209d31896b8a8aa67faa8e48b443bb39c9f182,371,0,0,3,0,368,"330, 502, 78, 703"
7c6ca3b626ae6689c876eff4fc129c7d30452982,356,0,0,3,0,353,"330, 502, 78, 703"
7cd723ac433781002062fdf6f6400043f0d9d55d,346,0,0,3,0,343,"330, 502, 78, 703"
7d4a369e82eea79ef281febb03d9267805f746bb,346,0,0,3,0,343,"330, 502, 78, 703"
7d651ac556fbce7003e97912a2125a421f38e2af,349,0,0,3,0,346,"330, 502, 78, 703"
80576b4124dc0892a393365754ffe4e1521e3427,355,0,0,3,0,352,"330, 502, 78, 703"
837ee4010615abb0788d4d5f30adf00635155f4c,355,0,0,3,0,352,"330, 502, 78, 703"
84d5adb8e937a4bce55f73890e3c53d26ecd231a,344,0,0,3,0,341,"330, 502, 78, 703"
861293a7ac84578ad4e32606e46339fa1951ab35,369,0,0,3,0,366,"330, 502, 78, 703"
8658cfc3f152104d108959c066c95cb9be3fc076,356,0,0,3,0,353,"330, 502, 78, 703"
914923cf519eeebf7b94911a30ad517b94221efe,346,0,0,3,0,343,"330, 502, 78, 703"
916af32311edd664f2cac98492749c22d5653a54,364,0,0,3,0,361,"330, 502, 78, 703"
9a4f3e2f0c0b76a6aaf62f7c0e3b6b8e309a4944,349,0,0,3,0,346,"330, 502, 78, 703"
